CRIME_DATE,TIME,TIME _PERIOD,MOUTH,DATE,CRIME_YEAR,CRIME_CATEGORY_NUMBER,CRIME_CATEGORY_DESCRIPTION,ZIP,LATITUDE,LONGITUDE,EVENT,WeekdayNum,STATISTICAL_CODE_DESCRIPTION
6/4/2013,21:06,11,6,4,2013,4,AGGRAVATED ASSAULT,90012,34.04347,-118.24712,0,2,"ASSAULT, AGGRAVATED: ADW - KNIFE"
7/15/2011,03:07,2,7,15,2011,13,NON-AGGRAVATED ASSAULTS,90012,34.04392,-118.25136,0,5,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
4/5/2014,14:04,8,4,5,2014,3,ROBBERY,90012,34.04392,-118.25136,1,6,"ROBBERY, WEAPON: Highway, Etc."
10/20/2011,18:10,10,10,20,2011,24,VANDALISM,90012,34.04392,-118.25136,0,4,VANDALISM FELONY
7/31/2012,19:07,10,7,31,2012,18,DRUNK / ALCOHOL / DRUGS,90012,34.04412,-118.17361,0,2,DRUNK: Alcohol
1/30/2014,09:01,5,1,30,2014,16,NARCOTICS,90012,34.04443,-118.23642,0,4,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
6/18/2014,10:06,6,6,18,2014,6,LARCENY THEFT,90012,34.04443,-118.23642,0,3,"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)"
8/17/2010,12:08,7,8,17,2010,18,DRUNK / ALCOHOL / DRUGS,90012,34.04443,-118.23642,0,2,DRUNK: Alcohol
10/15/2013,16:10,9,10,15,2013,24,VANDALISM,90012,34.04456,-118.23241,0,2,VANDALISM FELONY
11/24/2014,20:11,11,11,24,2014,23,VEHICLE / BOATING LAWS,90012,34.04552,-118.23806,0,1,VEHICLE AND BOATING LAWS: Misdemeanor
4/19/2012,22:04,12,4,19,2012,29,FELONIES MISCELLANEOUS,90012,34.04592,-118.25447,0,4,"FELONIES, MISCELLANEOUS: All Other Felonies"
10/18/2011,18:10,10,10,18,2011,30,MISDEMEANORS MISCELLANEOUS,90012,34.04596,-118.25094,0,2,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors"
9/21/2013,03:09,2,9,21,2013,16,NARCOTICS,90012,34.04702,-118.23373,1,6,Felony Possession of a Controlled Substance (excluding Marijuana)
2/8/2012,04:02,3,2,8,2012,24,VANDALISM,90012,34.04743,-118.22285,0,3,VANDALISM: Graffiti/Tagging
1/20/2013,19:01,10,1,20,2013,13,NON-AGGRAVATED ASSAULTS,90012,34.04788,-118.34465,2,7,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
7/30/2010,13:07,7,7,30,2010,16,NARCOTICS,90012,34.04811,-118.25073,0,5,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
4/19/2014,11:04,6,4,19,2014,24,VANDALISM,90012,34.04864,-118.23411,1,6,VANDALISM: Graffiti/Tagging
5/1/2011,12:05,7,5,1,2011,16,NARCOTICS,90012,34.04876,-118.25175,1,7,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
5/7/2014,14:05,8,5,7,2014,16,NARCOTICS,90012,34.04876,-118.25175,0,3,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
8/21/2014,18:08,10,8,21,2014,16,NARCOTICS,90012,34.04876,-118.25175,0,4,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
5/1/2012,14:05,8,5,1,2012,4,AGGRAVATED ASSAULT,90012,34.04947,-118.25287,0,2,"ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC."
8/17/2012,18:08,10,8,17,2012,4,AGGRAVATED ASSAULT,90012,34.04953,-118.25947,0,5,"ASSAULT, FELONY: ADW, Peace Officer - Hands, Feet, Fist, Etc."
8/12/2010,10:08,6,8,12,2010,24,VANDALISM,90012,34.04964,-118.23798,0,4,VANDALISM: Graffiti/Tagging
2/23/2010,17:02,9,2,23,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.04964,-118.23798,0,2,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
7/15/2010,19:07,10,7,15,2010,24,VANDALISM,90012,34.04964,-118.23798,0,4,VANDALISM: Graffiti/Tagging
5/20/2012,00:05,1,5,20,2012,13,NON-AGGRAVATED ASSAULTS,90012,34.04974,-118.23791,1,7,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
12/17/2011,01:12,1,12,17,2011,18,DRUNK / ALCOHOL / DRUGS,90012,34.04974,-118.23791,1,6,DRUNK: Alcohol
11/14/2010,08:11,5,11,14,2010,1,CRIMINAL HOMICIDE,90012,34.04974,-118.23791,1,7,CRIMINAL HOMICIDE: Murder
7/30/2012,12:07,7,7,30,2012,24,VANDALISM,90012,34.04974,-118.23791,0,1,VANDALISM: Graffiti/Tagging
10/4/2012,13:10,7,10,4,2012,30,MISDEMEANORS MISCELLANEOUS,90012,34.04974,-118.23791,0,4,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors"
5/25/2014,15:05,8,5,25,2014,24,VANDALISM,90012,34.04974,-118.23791,2,7,VANDALISM: Graffiti/Tagging
12/29/2014,18:12,10,12,29,2014,4,AGGRAVATED ASSAULT,90012,34.04974,-118.23791,0,1,"ASSAULT, AGGRAVATED: ADW - KNIFE"
8/20/2012,18:08,10,8,20,2012,13,NON-AGGRAVATED ASSAULTS,90012,34.05159,-118.25606,0,1,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
8/30/2014,19:08,10,8,30,2014,13,NON-AGGRAVATED ASSAULTS,90012,34.05296,-118.24444,2,6,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
7/10/2014,13:07,7,7,10,2014,12,SEX OFFENSES MISDEMEANORS,90012,34.05307,-118.22272,0,4,SEX MISDEMEANORS: All Other Sex Misdemeanors
2/19/2014,13:02,7,2,19,2014,24,VANDALISM,90012,34.05328,-118.24434,0,3,VANDALISM: Graffiti/Tagging
7/6/2010,11:07,6,7,6,2010,16,NARCOTICS,90012,34.05364,-118.24552,0,2,Felony Possession of a Controlled Substance (excluding Marijuana)
6/16/2011,15:06,8,6,16,2011,23,VEHICLE / BOATING LAWS,90012,34.05364,-118.24552,0,4,VEHICLE AND BOATING LAWS: Misdemeanor
10/9/2014,01:10,1,10,9,2014,13,NON-AGGRAVATED ASSAULTS,90012,34.05375,-118.23786,0,4,"ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer"
10/31/2014,06:10,4,10,31,2014,5,BURGLARY,90012,34.05375,-118.23786,0,5,"BURGLARY, OTHER STRUCTURE: Day, Entry No Force"
10/6/2014,07:10,4,10,6,2014,5,BURGLARY,90012,34.05375,-118.23786,0,1,"BURGLARY, OTHER STRUCTURE: Day, Entry No Force"
11/10/2014,07:11,4,11,10,2014,6,LARCENY THEFT,90012,34.05375,-118.23786,0,1,"THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)"
11/26/2014,08:11,5,11,26,2014,30,MISDEMEANORS MISCELLANEOUS,90012,34.05375,-118.23786,0,3,"MISDEMEANORS, MISCELLANEOUS: Trespassing"
11/21/2014,10:11,6,11,21,2014,16,NARCOTICS,90012,34.05375,-118.23786,0,5,NARCOTICS: Marijuana (Felony) Hashish/Hashish Oil (Poss/Sales)
12/5/2014,10:12,6,12,5,2014,16,NARCOTICS,90012,34.05375,-118.23786,0,5,Felony Possession of a Controlled Substance (excluding Marijuana)
11/27/2014,11:11,6,11,27,2014,18,DRUNK / ALCOHOL / DRUGS,90012,34.05375,-118.23786,2,4,DRUNK: Alcohol
9/8/2014,12:09,7,9,8,2014,6,LARCENY THEFT,90012,34.05375,-118.23786,0,1,"THEFT, PETTY: Bicycles"
9/10/2014,14:09,8,9,10,2014,10,FRAUD AND NSF CHECKS,90012,34.05375,-118.23786,0,3,FRAUD: Fraud By False Pretenses
9/24/2014,14:09,8,9,24,2014,6,LARCENY THEFT,90012,34.05375,-118.23786,0,3,GRAND THEFT: Purse Snatch
10/5/2014,20:10,11,10,5,2014,10,FRAUD AND NSF CHECKS,90012,34.05375,-118.23786,1,7,FRAUD: Fraud By False Pretenses
9/15/2011,15:09,8,9,15,2011,14,WEAPON LAWS,90012,34.05392,-118.2458,0,4,WEAPON LAWS: Felony
12/4/2011,12:12,7,12,4,2011,16,NARCOTICS,90012,34.05413,-118.2251,1,7,NARCOTICS: Marijuana Misdemeanors (Less Than 1 oz)
8/31/2014,16:08,9,8,31,2014,16,NARCOTICS,90012,34.05435,-118.24659,2,7,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
8/30/2014,21:08,11,8,30,2014,13,NON-AGGRAVATED ASSAULTS,90012,34.05435,-118.24659,2,6,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
1/3/2010,15:01,8,1,3,2010,15,OFFENSES AGAINST FAMILY,90012,34.05439,-118.24665,2,7,OFFENSES AGAINST FAMILY: Domestic Violence (Other than Phys Assault)
1/2/2010,06:01,4,1,2,2010,14,WEAPON LAWS,90012,34.05439,-118.24665,2,6,WEAPON LAWS: Felony
7/14/2010,19:07,10,7,14,2010,12,SEX OFFENSES MISDEMEANORS,90012,34.05439,-118.24665,0,3,SEX MISDEMEANORS: All Other Sex Misdemeanors
7/17/2013,04:07,3,7,17,2013,14,WEAPON LAWS,90012,34.0544,-118.24675,0,3,WEAPON LAWS: Felony
3/25/2014,06:03,4,3,25,2014,3,ROBBERY,90012,34.0544,-118.24675,0,2,"ROBBERY, STRONG-ARM: Other"
12/13/2012,07:12,4,12,13,2012,16,NARCOTICS,90012,34.0544,-118.24675,0,4,Felony Possession of a Controlled Substance (excluding Marijuana)
2/25/2013,09:02,5,2,25,2013,6,LARCENY THEFT,90012,34.0544,-118.24675,0,1,"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)"
3/1/2011,09:03,5,3,1,2011,3,ROBBERY,90012,34.0544,-118.24675,0,2,"ROBBERY, STRONG-ARM: Other"
6/15/2011,09:06,5,6,15,2011,16,NARCOTICS,90012,34.0544,-118.24675,0,3,NARCOTICS: Marijuana (Felony) Hashish/Hashish Oil (Poss/Sales)
9/26/2011,09:09,5,9,26,2011,6,LARCENY THEFT,90012,34.0544,-118.24675,0,1,GRAND THEFT: Purse Snatch
2/1/2012,11:02,6,2,1,2012,29,FELONIES MISCELLANEOUS,90012,34.0544,-118.24675,0,3,"FELONIES, MISCELLANEOUS: All Other Felonies"
2/7/2014,14:02,8,2,7,2014,24,VANDALISM,90012,34.0544,-118.24675,0,5,VANDALISM: Graffiti/Tagging
12/29/2010,14:12,8,12,29,2010,16,NARCOTICS,90012,34.0544,-118.24675,0,3,Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)
11/2/2012,16:11,9,11,2,2012,13,NON-AGGRAVATED ASSAULTS,90012,34.0544,-118.24675,0,5,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
11/18/2011,18:11,10,11,18,2011,30,MISDEMEANORS MISCELLANEOUS,90012,34.0544,-118.24675,0,5,"MISDEMEANORS, MISCELLANEOUS: Trespassing"
10/31/2011,19:10,10,10,31,2011,16,NARCOTICS,90012,34.0544,-118.24675,0,1,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
1/26/2012,22:01,12,1,26,2012,3,ROBBERY,90012,34.0544,-118.24675,0,4,"ROBBERY, STRONG-ARM: Other"
4/29/2014,22:04,12,4,29,2014,12,SEX OFFENSES MISDEMEANORS,90012,34.0544,-118.24675,0,2,SEX MISDEMEANORS: Annoy/Molest Children
4/12/2010,10:04,6,4,12,2010,9,FORGERY,90012,34.0545,-118.24655,0,1,WORTHLESS DOCUMENTS/FORGERY: Forgery - Other
6/29/2010,11:06,6,6,29,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.0545,-118.24655,0,2,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
4/20/2010,13:04,7,4,20,2010,6,LARCENY THEFT,90012,34.0545,-118.24655,0,2,"THEFT, PETTY: From Bldgs (Church, School, Restaurant)"
9/3/2010,16:09,9,9,3,2010,30,MISDEMEANORS MISCELLANEOUS,90012,34.0545,-118.24655,0,5,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors"
12/30/2014,00:12,1,12,30,2014,16,NARCOTICS,90012,34.05451,-118.23778,0,2,Felony Possession of a Controlled Substance (excluding Marijuana)
5/6/2012,18:05,10,5,6,2012,16,NARCOTICS,90012,34.05461,-118.20281,1,7,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
4/3/2013,08:04,5,4,3,2013,6,LARCENY THEFT,90012,34.05472,-118.24643,0,3,"THEFT, PETTY: From Bldgs (Church, School, Restaurant)"
10/29/2013,08:10,5,10,29,2013,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,2,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
10/12/2011,09:10,5,10,12,2011,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
2/9/2011,11:02,6,2,9,2011,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
2/28/2012,11:02,6,2,28,2012,24,VANDALISM,90012,34.05472,-118.24643,0,2,VANDALISM MISD
5/29/2013,11:05,6,5,29,2013,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
10/31/2012,11:10,6,10,31,2012,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
4/8/2011,12:04,7,4,8,2011,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,5,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
11/2/2010,12:11,7,11,2,2010,25,WARRANTS,90012,34.05472,-118.24643,0,2,WARRANTS: Misdemeanor
5/23/2014,13:05,7,5,23,2014,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,5,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
7/3/2012,13:07,7,7,3,2012,6,LARCENY THEFT,90012,34.05472,-118.24643,0,2,"THEFT, PETTY: From Bldgs (Church, School, Restaurant)"
5/6/2013,14:05,8,5,6,2013,19,DISORDERLY CONDUCT,90012,34.05472,-118.24643,0,1,DISORDERLY CONDUCT: Telephone Annoyance
6/4/2013,14:06,8,6,4,2013,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,2,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
8/19/2011,14:08,8,8,19,2011,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,5,"ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer"
10/23/2013,14:10,8,10,23,2013,30,MISDEMEANORS MISCELLANEOUS,90012,34.05472,-118.24643,0,3,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors"
4/11/2014,15:04,8,4,11,2014,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,5,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
11/17/2010,15:11,8,11,17,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05472,-118.24643,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
1/24/2014,16:01,9,1,24,2014,6,LARCENY THEFT,90012,34.05472,-118.24643,0,5,"THEFT, PETTY: From Bldgs (Church, School, Restaurant)"
9/7/2010,06:09,4,9,7,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,2,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
3/18/2010,07:03,4,3,18,2010,4,AGGRAVATED ASSAULT,90012,34.05494,-118.24278,0,4,"ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC."
5/12/2010,07:05,4,5,12,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
7/16/2010,07:07,4,7,16,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,5,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
7/3/2014,07:07,4,7,3,2014,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,4,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
8/31/2010,07:08,4,8,31,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,2,WEAPON LAWS: Felony
9/15/2010,07:09,4,9,15,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
10/7/2010,07:10,4,10,7,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,4,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
1/5/2010,08:01,5,1,5,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,2,WEAPON LAWS: Felony
1/8/2010,08:01,5,1,8,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,5,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
1/12/2010,08:01,5,1,12,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,2,WEAPON LAWS: Felony
2/4/2010,08:02,5,2,4,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,4,WEAPON LAWS: Felony
2/19/2010,08:02,5,2,19,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,5,WEAPON LAWS: Felony
2/24/2010,08:02,5,2,24,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,3,WEAPON LAWS: Felony
2/24/2010,08:02,5,2,24,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
3/5/2010,08:03,5,3,5,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,5,WEAPON LAWS: Felony
4/7/2010,08:04,5,4,7,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.05494,-118.24278,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
4/14/2010,08:04,5,4,14,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,3,WEAPON LAWS: Felony
4/15/2010,08:04,5,4,15,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,4,WEAPON LAWS: Felony
4/15/2010,08:04,5,4,15,2010,16,NARCOTICS,90012,34.05494,-118.24278,0,4,NARCOTICS: Miscellaneous Felonies
4/19/2010,08:04,5,4,19,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,1,WEAPON LAWS: Felony
4/20/2010,08:04,5,4,20,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,2,WEAPON LAWS: Felony
5/14/2010,08:05,5,5,14,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,5,WEAPON LAWS: Felony
5/26/2010,08:05,5,5,26,2010,14,WEAPON LAWS,90012,34.05494,-118.24278,0,3,WEAPON LAWS: Felony
